team,year,TeamID,lookup,herop_percentot
Stanford (Pac-12),2012,1390,2012-1390,0.184397163
George Mason (CAA),2012,1206,2012-1206,0.241477273
Niagara (MAAC),2012,1310,2012-1310,0.251420455
St. Bonaventure (Atlantic 10),2012,1382,2012-1382,0.254623044
North Texas (Sun Belt),2012,1317,2012-1317,0.184921764
Elon (SoCon),2012,0,2012-0,0.185185185
Purdue Fort Wayne (Summit League),2012,0,2012-0,0.185714286
Montana St. (Big Sky),2012,1286,2012-1286,0.185714286
Arizona (Pac-12),2012,1112,2012-1112,0.185714286
Central Conn. St. (NEC),2012,1148,2012-1148,0.271428571
N.C. A&T (MEAC),2012,1299,2012-1299,0.185979971
Toledo (MAC),2012,0,2012-0,0.185979971
Florida St. (ACC),2012,1199,2012-1199,0.202295552
UNC Greensboro (SoCon),2012,1422,2012-1422,0.262553802
LMU (CA) (WCC),2012,0,2012-0,0.18651363
Lafayette (Patriot),2012,1248,2012-1248,0.206599713
Utah Valley (GWC),2012,0,2012-0,0.186781609
NJIT (GWC),2012,0,2012-0,0.186781609
Rice (C-USA),2012,0,2012-0,0.186781609
Idaho (WAC),2012,0,2012-0,0.18705036
Louisville (AAC),2012,1257,2012-1257,0.18705036
Northwestern (Big Ten),2012,1321,2012-1321,0.284892086
Santa Clara (WCC),2012,0,2012-0,0.18705036
Louisiana Tech (WAC),2012,0,2012-0,0.18705036
St. Francis Brooklyn (NEC),2012,0,2012-0,0.18705036
Delaware (CAA),2012,1174,2012-1174,0.275613276
Austin Peay (OVC),2012,1122,2012-1122,0.187590188
Norfolk St. (MEAC),2012,1313,2012-1313,0.231213873
Cincinnati (AAC),2012,1153,2012-1153,0.209537572
Yale (Ivy League),2012,1463,2012-1463,0.263386397
Oklahoma (Big 12),2012,1328,2012-1328,0.234442836
Saint Louis (Atlantic 10),2012,1387,2012-1387,0.18813314
Georgetown (AAC),2012,1207,2012-1207,0.18813314
Bucknell (Patriot),2012,1137,2012-1137,0.242028986
Richmond (Atlantic 10),2012,1350,2012-1350,0.211594203
Tennessee (SEC),2012,1397,2012-1397,0.188679245
